//FAM;Contact(ZOO_CONTACT);<specid>;<fldid>;civilité;nom;prénom;ville;;;;
ORDER;ZOO_CONTACT;;;zct_civility;zct_lname;zct_fname;zct_worktown;zct_mail;;;
DOC;ZOO_CONTACT;;;;MARTIN;Adam;Paris;adam3@zoo.net;;;adam3@zoo.net
DOC;ZOO_CONTACT;;;;BERNARD;Alex;Marseille;alex4@zoo.net;;;
DOC;ZOO_CONTACT;;;;THOMAS;Alexandre;Lyon;alexandre5@zoo.net;;;
DOC;ZOO_CONTACT;;;;PETIT;Alexis;Toulouse;alexis6@zoo.net;;;
DOC;ZOO_CONTACT;;;;ROBERT;Anthony;Nice;anthony7@zoo.net;;;
DOC;ZOO_CONTACT;;;;RICHARD;Antoine;Nantes;antoine8@zoo.net;;;
DOC;ZOO_CONTACT;;;;DURAND;Benjamin;Strasbourg;benjamin9@zoo.net;;;
DOC;ZOO_CONTACT;;;;DUBOIS;Cédric;Montpellier;cedric10@zoo.net;;;
DOC;ZOO_CONTACT;;;;MOREAU;Charles;Bordeaux;charles11@zoo.net;;;
DOC;ZOO_CONTACT;;;;LAURENT;Christopher;Lille15;christopher12@zoo.net;;;
DOC;ZOO_CONTACT;;;;SIMON;David;Rennes;david13@zoo.net;;;
DOC;ZOO_CONTACT;;;;MICHEL;Dylan;Reims;dylan14@zoo.net;;;
DOC;ZOO_CONTACT;;;;LEFEBVRE;Édouard;Le Havre;edouard15@zoo.net;;;
DOC;ZOO_CONTACT;;;;LEROY;Elliot;Saint-Étienne;elliot16@zoo.net;;;
DOC;ZOO_CONTACT;;;;ROUX;Émile;Toulon;emile17@zoo.net;;;
DOC;ZOO_CONTACT;;;;DAVID;Étienne;Grenoble;etienne18@zoo.net;;;
DOC;ZOO_CONTACT;;;;BERTRAND;Félix;Dijon;felix19@zoo.net;;;
DOC;ZOO_CONTACT;;;;MOREL;Gabriel;Angers;gabriel20@zoo.net;;;
DOC;ZOO_CONTACT;;;;FOURNIER;Guillaume;Villeurbanne;guillaume21@zoo.net;;;
DOC;ZOO_CONTACT;;;;GIRARD;Hugo;Saint-Denis;hugo22@zoo.net;;;
DOC;ZOO_CONTACT;;;;BONNET;Isaac;Le Mans;isaac23@zoo.net;;;
DOC;ZOO_CONTACT;;;;DUPONT;Jacob;Nîmes;jacob24@zoo.net;;;
DOC;ZOO_CONTACT;;;;LAMBERT;Jérémy;Aix-en-Provence;jeremy25@zoo.net;;;
DOC;ZOO_CONTACT;;;;FONTAINE;Jonathan;Brest;jonathan26@zoo.net;;;
DOC;ZOO_CONTACT;;;;ROUSSEAU;Julien;Clermont-Ferrand;julien27@zoo.net;;;
DOC;ZOO_CONTACT;;;;VINCENT;Justin;Limoges;justin28@zoo.net;;;
DOC;ZOO_CONTACT;;;;MULLER;Léo;Tours;leo29@zoo.net;;;
DOC;ZOO_CONTACT;;;;LEFEVRE;Logan;Amiens;logan30@zoo.net;;;
DOC;ZOO_CONTACT;;;;FAURE;Loïc;Metz;loic31@zoo.net;;;
DOC;ZOO_CONTACT;;;;ANDRE;Louis;Perpignan;louis32@zoo.net;;;
DOC;ZOO_CONTACT;;;;MERCIER;Lucas;Besançon;lucas33@zoo.net;;;
DOC;ZOO_CONTACT;;;;BLANC;Ludovic;Boulogne-Billancourt;ludovic34@zoo.net;;;
DOC;ZOO_CONTACT;;;;GUERIN;Malik;Orléans;malik35@zoo.net;;;
DOC;ZOO_CONTACT;;;;BOYER;Mathieu;Rouen;mathieu36@zoo.net;;;
DOC;ZOO_CONTACT;;;;GARNIER;Mathis;Mulhouse;mathis37@zoo.net;;;
DOC;ZOO_CONTACT;;;;CHEVALIER;Maxime;Caen;maxime38@zoo.net;;;
DOC;ZOO_CONTACT;;;;FRANCOIS;Michaël;Saint-Denis;michael39@zoo.net;;;
DOC;ZOO_CONTACT;;;;LEGRAND;Nathan;Nancy;nathan40@zoo.net;;;
DOC;ZOO_CONTACT;;;;GAUTHIER;Nicolas;Saint-Paul;nicolas41@zoo.net;;;
DOC;ZOO_CONTACT;;;;GARCIA;Noah;Argenteuil;noah42@zoo.net;;;
DOC;ZOO_CONTACT;;;;PERRIN;Olivier;Montreuil;olivier43@zoo.net;;;
DOC;ZOO_CONTACT;;;;ROBIN;Philippe;Roubaix;philippe44@zoo.net;;;
DOC;ZOO_CONTACT;;;;CLEMENT;Raphaël;Dunkerque16;raphael45@zoo.net;;;
DOC;ZOO_CONTACT;;;;MORIN;Samuel;Tourcoing;samuel46@zoo.net;;;
DOC;ZOO_CONTACT;;;;NICOLAS;Simon;Créteil;simon47@zoo.net;;;
DOC;ZOO_CONTACT;;;;HENRY;Thomas;Avignon;thomas48@zoo.net;;;
DOC;ZOO_CONTACT;;;;ROUSSEL;Tommy;Nanterre;tommy49@zoo.net;;;
DOC;ZOO_CONTACT;;;;MATHIEU;Tristan;Poitiers;tristan50@zoo.net;;;
DOC;ZOO_CONTACT;;;;GAUTIER;Victor;Courbevoie;victor51@zoo.net;;;
DOC;ZOO_CONTACT;;;;MASSON;Vincent;Fort-de-France;vincent52@zoo.net;;;
DOC;ZOO_CONTACT;;;;MARCHAND;Alexia;Versailles;alexia53@zoo.net;;;
DOC;ZOO_CONTACT;;;;DUVAL;Alice;Vitry-sur-Seine;alice54@zoo.net;;;
DOC;ZOO_CONTACT;;;;DENIS;Alicia;Colombes;alicia55@zoo.net;;;
DOC;ZOO_CONTACT;;;;DUMONT;Amélie;Asnières-sur-Seine;amelie56@zoo.net;;;
DOC;ZOO_CONTACT;;;;MARIE;Anaïs;Aulnay-sous-Bois;anais57@zoo.net;;;
DOC;ZOO_CONTACT;;;;LEMAIRE;Annabelle;Pau;annabelle58@zoo.net;;;
DOC;ZOO_CONTACT;;;;NOEL;Arianne;Rueil-Malmaison;arianne59@zoo.net;;;
DOC;ZOO_CONTACT;;;;MEYER;Audrey;Saint-Pierre;audrey60@zoo.net;;;
DOC;ZOO_CONTACT;;;;DUFOUR;Aurélie;Aubervilliers;aurelie61@zoo.net;;;
DOC;ZOO_CONTACT;;;;MEUNIER;Camille;Champigny-sur-Marne;camille62@zoo.net;;;
DOC;ZOO_CONTACT;;;;BRUN;Catherine;La Rochelle;catherine63@zoo.net;;;
